"Acce. X_x","Acce. X_y","Acce. Y_x","Acce. Y_y","Acce. Z_x","Acce. Z_y","S. Upper_x","S. Upper_y","S. Lower_x","S. Lower_y"
0.452,9.35,0.452,0.31,0.452,0.92,0.452,1,0.452,1,
0.456,9.96,0.456,0.15,0.456,0,0.456,1,0.456,1,
0.459,9.5,0.459,0.31,0.459,0.15,0.459,1,0.459,1,
0.463,9.66,0.463,0.15,0.463,0,0.463,1,0.463,1,
0.467,9.66,0.467,0.31,0.467,0.61,0.467,1,0.467,1,
0.471,9.96,0.471,0.31,0.471,0.31,0.471,1,0.471,1,
0.475,9.5,0.475,0.15,0.475,0.92,0.475,1,0.475,1,
0.478,9.66,0.478,0.31,0.478,1.07,0.478,1,0.478,1,
0.482,9.81,0.482,0.15,0.482,0.61,0.482,1,0.482,1,
0.486,9.81,0.486,0.15,0.486,0.31,0.486,1,0.486,1,
0.489,9.66,0.489,0.31,0.489,1.07,0.489,1,0.489,1,
0.493,9.96,0.493,0.15,0.493,0.46,0.493,1,0.493,1,
0.497,9.81,0.497,0.15,0.497,0.31,0.497,1,0.497,1,
0.5,9.35,0.5,0.15,0.5,0.92,0.5,1,0.5,1,
0.504,9.96,0.504,0.15,0.504,0.31,0.504,1,0.504,1,
0.509,9.81,0.509,0,0.509,0.31,0.509,1,0.509,1,
0.512,9.81,0.512,0.15,0.512,0.31,0.512,1,0.512,1,
0.516,9.66,0.516,0.31,0.516,0.46,0.516,1,0.516,1,
0.52,9.81,0.52,0.15,0.52,-0.31,0.52,1,0.52,1,
0.523,9.35,0.523,0.15,0.523,0.46,0.523,1,0.523,1,
0.527,9.81,0.527,0.15,0.527,0,0.527,1,0.527,1,
0.531,9.5,0.531,0,0.531,0.15,0.531,1,0.531,1,
0.534,9.66,0.534,0.15,0.534,0.15,0.534,1,0.534,1,
0.538,9.96,0.538,0,0.538,0.15,0.538,1,0.538,1,
0.542,9.5,0.542,0,0.542,0.31,0.542,1,0.542,1,
0.545,9.5,0.545,0,0.545,0,0.545,1,0.545,1,
0.549,9.5,0.549,0,0.549,0.31,0.549,1,0.549,1,
0.554,9.66,0.554,0.15,0.554,0.46,0.554,1,0.554,1,
0.557,9.66,0.557,0,0.557,0,0.557,1,0.557,1,
0.561,9.5,0.561,0,0.561,0,0.561,1,0.561,1,
0.565,9.5,0.565,0.15,0.565,0.15,0.565,1,0.565,1,
0.568,9.96,0.568,0.15,0.568,0.31,0.568,1,0.568,1,
0.572,9.81,0.572,0,0.572,0.31,0.572,1,0.572,1,
0.576,9.66,0.576,0,0.576,0.31,0.576,1,0.576,1,
0.579,9.5,0.579,0.15,0.579,0.92,0.579,1,0.579,1,
0.583,9.81,0.583,0.15,0.583,0.46,0.583,1,0.583,1,
0.587,9.81,0.587,0.15,0.587,0.61,0.587,1,0.587,1,
0.59,9.81,0.59,0,0.59,0.61,0.59,1,0.59,1,
0.595,9.66,0.595,0.15,0.595,0.46,0.595,1,0.595,1,
0.599,9.66,0.599,0.15,0.599,0.46,0.599,1,0.599,1,
0.602,9.66,0.602,0,0.602,-0.15,0.602,1,0.602,1,
0.606,9.81,0.606,0,0.606,0.61,0.606,1,0.606,1,
0.61,9.81,0.61,0.15,0.61,0.61,0.61,1,0.61,1,
0.613,9.81,0.613,0,0.613,0.46,0.613,1,0.613,1,
0.617,9.66,0.617,0,0.617,0,0.617,1,0.617,1,
0.621,9.5,0.621,0,0.621,0,0.621,1,0.621,1,
0.624,9.5,0.624,0.15,0.624,0.92,0.624,1,0.624,1,
0.628,9.96,0.628,0.15,0.628,0.31,0.628,1,0.628,1,
